note,key,composer,symphony
C,major,Joseph Haydn,Symphony No. 41 (composed by 1770)
C,major,Joseph Haydn,"Symphony No. 48, Maria Theresa (composed by 1769)"
C,major,Joseph Haydn,Symphony No. 50 (1773)
C,major,Joseph Haydn,Symphony No. 56 (1774)
C,major,Joseph Haydn,"Symphony No. 60, Il distratto (composed by 1774)"
C,major,Joseph Haydn,"Symphony No. 63, La Roxelane (composed by 1781)"
C,major,Joseph Haydn,"Symphony No. 69, Laudon (composed by 1779)"
C,major,Joseph Haydn,"Symphony No. 82, The Bear (1786)"
C,major,Joseph Haydn,Symphony No. 90 (1788)
C,major,Joseph Haydn,Symphony No. 97 (1792)
C,major,Michael Haydn,"Symphony No. 1, MH 23, Perger 35 (1758?)"
C,major,Michael Haydn,"Symphony No. 2, MH 37, Perger 2 (1761)"
C,major,Michael Haydn,"Symphony No. 18, MH 188, Perger 10 (1773)"
C,major,Michael Haydn,"Symphony No. 20, MH 252, Perger 12 (1777)"
C,major,Michael Haydn,"Symphony No. 28, Opus 1 No. 3, Perger 19, MH 384"
C,major,Michael Haydn,"Symphony No. 39, MH 478, Perger 31 (1788)"
C,major,Aram Khachaturian,"Symphony No. 3 """"Symphony-Poem"""" (1947)"
C,major,Joseph Martin Kraus,"Symphony with Violino Obligato, VB 138"
C,major,Joseph Martin Kraus,"Symphony, VB 139"
C,major,Joseph Martin Kraus,"Symphony, """"Singmarinen 4"""" (lost), VB Anhang 10"
C,major,Adolf Fredrik Lindblad,"Symphony No. 1, Op. 19 (1831)"
C,major,Borys Lyatoshynsky,"Symphony No. 5 """"Slavonic"""", Op. 67 (1965-6)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 9, K. 73"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 16, K. 128 (1772)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 22, K. 162 (1773)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 28, K. 200 (1774)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 34, K. 338 (1780)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 36, K. 425 """"Linz"""" (1783)"
C,major,Wolfgang Amadeus Mozart,"Symphony No. 41, K. 551 """"Jupiter"""" (1788)"
C,major,Nikolai Myaskovsky,"Symphony No. 14 , Op. 37 (1933)"
C,major,Nikolai Myaskovsky,"Symphony No. 18 , Op. 42 (1937)"
C,major,Nikolai Myaskovsky,"Symphony No. 26 , Op. 79 (1948)"
C,major,Ludolf Nielsen,"Symphony No. 3, Op. 22 (1914)"
C,major,Hans Pfitzner,"Symphony No. 3 , Op. 46 (1940)"
C,major,Gavriil Popov,"Chamber Symphony, previously known as Septet (1927)"
C,major,Sergei Prokofiev,"Symphony No. 4 (original version), Op. 47, 1930"
C,major,Sergei Prokofiev,"Symphony No. 4 (revised version), Op. 112, 1947"
C,major,Joachim Raff,"Symphony No. 2, Op. 140 (1866)"
C,major,Nikolai Rimsky-Korsakov,"Symphony No. 3 , Op. 32, 1866-1873 (1st version), 1886 (2nd version)"
C,major,Jean Rivier,Symphony No. 2 for Strings (1937)
C,major,Guy Ropartz,Symphony No. 4 in C major (1914)
C,major,Anton Rubinstein,"Symphony No. 2 Ocean , Op. 42 (original version of 1851-revisions to 1863)"
C,major,Franz Schmidt,Symphony No. 4  (1932-33)
C,major,Franz Schubert,"Symphony No. 6, D. 589"
C,major,Franz Schubert,"Symphony No. 9, D. 944 """"The Great"""" (1828)"
C,major,Robert Schumann,"Symphony No. 2, Op. 61 (1845-46)"
C,major,Vissarion Shebalin,"Symphony No. 5, Op. 56 (1962)"
C,major,Dmitri Shostakovich,"Symphony No. 7, Op. 60 """"Leningrad"""" (1942)"
C,major,Jean Sibelius,"Symphony No. 3, Op. 52 (1904-7)"
C,major,Jean Sibelius,"Symphony No. 7, Op. 105 (1924)"
C,major,Igor Stravinsky,Symphony in C (1940)
C,major,Louis Spohr,"Symphony No. 7 """"The Earthly and Divine in Human Life"""", Op. 121 (1841)"
C,major,Richard Wagner,Symphony in C major (1832)
C,major,Carl Maria von Weber,"Symphony No. 1 in C major, Op. 19, J. 50 (1806-7)"
C,major,Carl Maria von Weber,"Symphony No. 2 in C major , J. 51 (1807)"
C,major,Mieczysław Weinberg,"Symphony No. 7 , Op. 81 (1964)"
C,minor,Composer,Symphony
C,minor,Hugo Alfvén,"Symphony No. 4 , Från havsbandet op. 39 (1918-9)"
C,minor,Boris Alexandrovich Arapov,Symphony No. 1 (1947)
C,minor,Thomas Arne,Symphony No. 4 (ca 1767)
C,minor,Edgar Bainton,Symphony No. 3 (completed 1956)
C,minor,Ludwig van Beethoven,"Symphony No. 5, op. 67 (1808)"
C,minor,Felix Blumenfeld,Symphony Op. 39 To the Beloved Dead (by 1909)
C,minor,Luigi Boccherini,"Symphony No. 17, op. 41 G. 519 (1788)"
C,minor,Johannes Brahms,"Symphony No. 1, op. 68 (1862-76)"
C,minor,Havergal Brian,Symphony No. 10  (1953-4)
C,minor,Havergal Brian,Symphony No. 27 (1966)
C,minor,Havergal Brian,Symphony No. 28  (1967)
C,minor,Anton Bruckner,Symphony No. 1 (1868)
C,minor,Anton Bruckner,Symphony No. 2 (1872)
C,minor,Anton Bruckner,Symphony No. 8 (1887)
C,minor,Norbert Burgmüller,"Symphony No. 1, op. 2 (1831-3)"
C,minor,Antonio Casimir Cartellieri,Symphony No. 1 (1795)
C,minor,Alfredo Casella,"Symphony No. 2, op. 12 (1908-9)"
C,minor,Frederic Cliffe,Symphony No. 1 (1889)
C,minor,Frederic Hymen Cowen,Symphony No. 3  Scandinavian (1880)
C,minor,Carl Czerny,"Symphony No. 1, Op. 781"
C,minor,Antonín Dvořák,"Symphony No. 1, B. 9 """"The Bells of Zlonice"""" (1865)"
C,minor,Edward Elgar,"Symphony No. 3, Op. 88 (1997 completion of a work left unfinished in 1934)"
C,minor,Louise Farrenc,"Symphony No. 1 , op. 32 (1841)"
C,minor,Josef Bohuslav Foerster,"Symphony No. 4 , op. 54 """"Easter Eve"""" (1905)"
C,minor,Niels Gade,"Symphony No. 1 , op. 5 (1842)"
C,minor,Friedrich Gernsheim,"Symphony No. 3, op. 54 """"Mirjam"""" (1888)"
C,minor,Louis Glass,"Symphony No. 2 (with chorus), op. 28 (1899)"
C,minor,Alexander Glazunov,"Symphony No. 6, op. 58 (1896)"
C,minor,Reinhold Glière,"Symphony No. 2, op. 25 (1907-8)"
C,minor,Edvard Grieg,Symphony in C minor EG 119 (1863-4)
C,minor,Johan Halvorsen,Symphony No. 1 (1923)
C,minor,Asger Hamerik,"Symphony No. 2, op. 32 Symphonie tragique (1882-3)"
C,minor,Joseph Haydn,Symphony No. 52
C,minor,Joseph Haydn,Symphony No. 78
C,minor,Joseph Haydn,Symphony No. 95
C,minor,William Herschel,Symphony No. 8 (1761)
C,minor,Heinrich von Herzogenberg,"Symphony No. 1, op. 50"
C,minor,Richard Hol,Symphony No. 1 (1863)
C,minor,Jānis Ivanovs,Symphony No. 7 (1953)
C,minor,Salomon Jadassohn,"Symphony No. 4, op. 101 (1889)"
C,minor,Dmitri Kabalevsky,"Symphony No. 2, Opus 19"
C,minor,Dmitri Kabalevsky,"Symphony No. 4 , Opus 54"
C,minor,Hugo Kaun,"Symphony No. 2, Opus 85 (dedicated to Peter Raabe)"
C,minor,Tikhon Khrennikov,"Symphony No. 2 (1940, rev. 1942)"
C,minor,August Klughardt,Symphony No. 4  op. 57 (1897)
C,minor,August Klughardt,"Symphony No. 5, op. 71 (Orchestration of his lost String Sextet in C sharp minor)"
C,minor,Joseph Martin Kraus,"Symphony in C minor, VB 142 (a reworking of the Symphony in C-sharp minor, VB 140)"
C,minor,Joseph Martin Kraus,Symphonie funèbre in C minor
C,minor,Franz Krommer,"Symphony No. 4, op. 102 (published in 1821)"
C,minor,Joseph Küffner,"Symphony No. 4, op. 141"
C,minor,Franz Lachner,"Symphony No. 5 """"Passionata"""" op. 52 (1835)"
C,minor,Albéric Magnard,"Symphony No. 1 , op. 4 (1890)"
C,minor,Gustav Mahler,"Symphony No. 2 """"Resurrection"""" (1888-94)"
C,minor,Witold Maliszewski,"Symphony No. 3, op. 14"
C,minor,Daniel Gregory Mason,"Symphony No. 1, op. 11 (1913-4)"
C,minor,Felix Mendelssohn,"Symphony No. 1, op. 11 (1824)"
C,minor,Nikolai Myaskovsky,"Symphony No. 1, op. 3 (1908, rev. 1921)"
C,minor,Nikolai Myaskovsky,"Symphony No. 27 , op. 85 (1947-9)"
C,minor,John Knowles Paine,"Symphony No. 1, op. 23 (1875)"
C,minor,Boris Parsadanian,Symphony No. 1 op. 5 (1958)
C,minor,Ignaz Pleyel,"*Symphony, Benton 121 (1778)"
C,minor,Florence Price,Symphony No. 3 (1940)
C,minor,Sergei Prokofiev,"Symphony No. 3, op. 44 (1928)"
C,minor,Carl Reinecke,"Symphony No. 2, Hakon Jarl, op. 134 (1874)"
C,minor,František Xaver Richter,"Symphony, Riemann 13 (ca. 1740)"
C,minor,František Xaver Richter,"Sinfonia """"Number 12"""" (published 1759)"
C,minor,Ferdinand Ries,"Symphony No. 2, op. 80 (1814)"
C,minor,Julius Röntgen,Symphony No. 3 (1910)
C,minor,Camille Saint-Saëns,"Symphony No. 3, op. 78 """"Organ"""" (1886)"
C,minor,Xaver Scharwenka,"Symphony, op. 60 (1885)"
C,minor,Ernest Schelling,Symphony in C minor
C,minor,Franz Schubert,"Symphony No. 4, D. 417 """"Tragic"""""
C,minor,Alexander Scriabin,"Symphony No. 2, op. 29 (1901)"
C,minor,Alexander Scriabin,"Symphony No. 3, op. 43 """"The Divine Poem"""" (1902-4)"
C,minor,Dmitri Shostakovich,"Symphony No. 4, op. 43 (1936)"
C,minor,Dmitri Shostakovich,"Symphony No. 8, op. 65 (1943)"
C,minor,Alice Mary Smith,Symphony No. 1 (1863)
C,minor,Louis Spohr,"Symphony No. 3 , op. 78 (1828)"
C,minor,Louis Spohr,"Symphony No. 5, op. 102 (1837)"
C,minor,Josef Suk,"Symphony No. 2, op. 27 """"Asrael"""" (1904-6)"
C,minor,Sergei Taneyev,"Symphony No. 4 , op. 12 (1896-8)"
C,minor,Pyotr Ilyich Tchaikovsky,"Symphony No. 2, op. 17 """"Little Russian"""" (1879)"
C,minor,Eduard Tubin,Symphony No. 1 ETW 1 (1931-4)
C,minor,Johann Baptist Wanhal,"Symphony, Bryan c1"
C,minor,Johann Baptist Wanhal,"Symphony, Bryan c2 (by 1772)"
C,minor,Felix Weingartner,"Symphony No. 5, op. 71 (1924)"
C,minor,Richard Wetz,"Symphony No. 1, op. 40 (1915-6)"
C,minor,Christoph Ernst Friedrich Weyse,"Symphony No. 6, DF 122 (1798, ref. ca. 1800)"
C,minor,Johann Wilhelm Wilms,"Symphony No. 4, Op. 23"
C,minor,Johann Wilhelm Wilms,Symphony No. 7
C,minor,Felix Woyrsch,Symphony No. 1 (1908)
C,minor,Pavel Wranitzky,"Symphony, op. 11 (published 1791)"
C,minor,Richard Wüerst,Symphony No. 3 (1861)
C-sharp,minor,Joseph Abrams,Symphony No.1
C-sharp,minor,Ernest Bloch,Symphony in C-sharp minor (1902)
C-sharp,minor,Siegfried Borris,Symphony No. 5
C-sharp,minor,Havergal Brian,Symphony No. 3 
C-sharp,minor,Havergal Brian,Symphony No. 16 
C-sharp,minor,Havergal Brian,Symphony No. 20 
C-sharp,minor,Dimitrie Cuclin,Symphony No. 9 (1949)
C-sharp,minor,Wilhelm Furtwängler,Symphony No. 3 (1951-54)
C-sharp,minor,David Hackbridge Johnson,Symphony No.9
C-sharp,minor,Dmitri Kabalevsky,Symphony No.1 (1932)
C-sharp,minor,Joseph Martin Kraus,"Symphony in C-sharp minor, VB 140."
C-sharp,minor,Glenn Clarence Kruspe,Symphony in C-sharp minor (1947)
C-sharp,minor,Artur Lemba,Symphony No. 1 (1908)
C-sharp,minor,Albéric Magnard,Symphony No. 4 (1913)
C-sharp,minor,Gustav Mahler,Symphony No. 5 (1901-2)
C-sharp,minor,George Alexander Macfarren,Symphony No. 7 (1939-40)
C-sharp,minor,John Blackwood McEwen,Symphony No. 5 Solway (1911)
C-sharp,minor,Nikolai Myaskovsky,Symphony No. 2 (1910-11)
C-sharp,minor,Wilhelm Petersen,Symphony No. 3 (1931-32)
C-sharp,minor,Hans Pfitzner,Symphony in C-sharp minor (1932)
C-sharp,minor,Sergei Prokofiev,"Symphony No. 7, Op. 131 (1952)"
C-sharp,minor,Ture Rangström,Symphony No. 1 August Strindberg in Memoriam (1914)
C-sharp,minor,Julius Röntgen,Symphony No. 8
C-sharp,minor,Vissarion Shebalin,Symphony No. 2 (1929)
C-sharp,minor,Alexandre Tansman,Symphony No. 4 (1939)
C-sharp,minor,Solon C. Verret,Symphony No. 1?
D-flat,major,Paul Büttner,Symphony No.3 (1915)
D-flat,major,Erwin Dressel,Symphony in D-flat major (1928)
D-flat,major,Anastazy Wilhelm Dreszer (1843 - 1907),"Symphony No. 1, Op. 3 (1865)"
D-flat,major,Howard Hanson,"Symphony No. 2, """"Romantic"""" (1930)"
D-flat,major,Nikolai Myaskovsky,"Symphony No. 25, Op. 69 (1946)"
D-flat,major,Ture Rangström,"Symphony No. 3, """"Song under the Stars"""""
D,major,Hugo Alfvén,"Symphony No. 2 , Op. 11 (1897-98)"
D,major,Kurt Atterberg,"Symphony No. 3 """"Västkustbilder"""" Op. 10 (1914-6)"
D,major,Carl Philipp Emanuel Bach,Symphony Wq.176 / H651 (1755)
D,major,Carl Philipp Emanuel Bach,Symphony Wq.183:1 / H663
D,major,Johann Christian Bach,Symphony/Overture Op. 18 No. 3
D,major,Johann Christian Bach,Symphony Op. 18 No. 4 (T270/7)
D,major,Johann Christian Bach,Symphony Op. 18 No. 6
D,major,Wilhelm Friedemann Bach,"Sinfonia, Falck 64/BR C 8"
D,major,Ludwig van Beethoven,"Symphony No. 2, Op. 36 (1802)"
D,major,Victor Bendix,"Symphony No. 2, Op. 20  (1886-87)"
D,major,Franz Berwald,Symphony No. 2 Capricieuse (1842)
D,major,Luigi Boccherini,"Symphony #4 for chamber orchestra , G. 496, Op. 21/4 (1775)"
D,major,Luigi Boccherini,"Symphony #1 for large orchestra , G. 509, Op. 35/1 (1782)"
D,major,Luigi Boccherini,"Symphony #16 for large orchestra , G. 516, Op. 37/2 (lost)"
D,major,Luigi Boccherini,"Symphony #18 for large orchestra, G. 520, Op. 42 (1789)"
D,major,Luigi Boccherini,"Symphony #19 for large orchestra, G. 521, Op. 43 (1790)"
D,major,Sergei Bortkiewicz,"Symphony No. 1 """"From My Homeland"""", Op. 52 (1945)"
D,major,Johannes Brahms,"Symphony No. 2, Op. 73 (1877)"
D,major,Havergal Brian,Symphony No. 24 (1965)
D,major,Howard Brockway,Symphony
D,major,Fritz Brun,Symphony No. 7 (1937)
D,major,Norbert Burgmüller,"Symphony No. 2, Op. 11 (1834-6)"
D,major,Luigi Cherubini,Symphony in D major  (1815)
D,major,Muzio Clementi,Symphony Op. 18/2 (published 1787)
D,major,Muzio Clementi,"Symphony """"No. 2"""" WoO 33 (incomplete) (begun 1819)"
D,major,Muzio Clementi,"Symphony """"No. 4"""" WoO 35 (incomplete) (premiered 1822)"
D,major,Carl Czerny,Symphony (1814)
D,major,Carl Czerny,"Symphony, Op. 781"
D,major,Eric DeLamarter,Symphony (1914)
D,major,Antonín Dvořák,"Symphony No. 6, Op. 60, B. 112 (1880)"
D,major,George Enescu,"Symphony No. 5 (ca.1941, then completed by Pascal Bentoiu)"
D,major,Louise Farrenc,"Symphony No. 2 , Op. 35 (1845)"
D,major,Frederic Ernest Fesca,"Symphony No. 2, Op. 10"
D,major,Frederic Ernest Fesca,"Symphony No. 3, Op. 13"
D,major,Josef Bohuslav Foerster,"Symphony No. 3, Op. 36"
D,major,Richard Franck,Symphony in D major (-1900)
D,major,Richard Franck,"Symphonische Fantasie in D, Op. 31 (1899)"
D,major,Florian Leopold Gassmann,"Symphonies Hill 1, 3, 5, 7, 9, 46, 82, 101, 103, 104. Also, a symphony in D major which might be by Baldassare Galuppi."
D,major,William Gilchrist,Symphony No. 2
D,major,Alexander Glazunov,"Symphony No. 3, Op. 33 (1888-90)"
D,major,Charles Gounod,Symphony No. 1 (1843-55)
D,major,Christoph Graupner,"Symphony No. 75, Nagel 75"
D,major,Joseph Haydn,Symphony No. 1 (composed by 1759)
D,major,Joseph Haydn,Symphony No. 4 (composed by 1762)
D,major,Joseph Haydn,"Symphony No. 6, Le Matin (1761?)"
D,major,Joseph Haydn,Symphony No. 10 (composed by 1766)
D,major,Joseph Haydn,Symphony No. 13 (1763)
D,major,Joseph Haydn,Symphony No. 15 (composed by 1764)
D,major,Joseph Haydn,Symphony No. 19 (composed by 1766)
D,major,Joseph Haydn,Symphony No. 24 (1764)
D,major,Joseph Haydn,Symphony No. 31 (1765)
D,major,Joseph Haydn,Symphony No. 42 (1771)
D,major,Joseph Haydn,"Symphony No. 53, L'impériale (1778)/(1779)"
D,major,Joseph Haydn,Symphony No. 57 (1774)
D,major,Joseph Haydn,Symphony No. 72 (composed between 1763-1765)
D,major,Joseph Haydn,"Symphony No. 73, La Chasse (composed by 1782)"
D,major,Joseph Haydn,Symphony No. 75 (composed by 1781)
D,major,Joseph Haydn,Symphony No. 86 (1786)
D,major,Joseph Haydn,Symphony No. 93 (1791)
D,major,Joseph Haydn,"Symphony No. 96, The Miracle (1791)"
D,major,Joseph Haydn,"Symphony No. 101, The Clock (1793)/(1794)"
D,major,Joseph Haydn,"Symphony No. 104, London (1795)"
D,major,Michael Haydn,"Symphony No. 1A, MH 24 (1758?)"
D,major,Michael Haydn,"Symphony No. 4, MH 50, Perger 36 (1763)"
D,major,Michael Haydn,"Symphony No. 9, MH 50, Perger 36 (1760?)"
D,major,Michael Haydn,"Symphony No. 10, MH 69, Perger 38 (1764?)"
D,major,Michael Haydn,"Symphony No. 13, MH 132, Perger 37 (1768?)"
D,major,Michael Haydn,"Symphony No. 14, MH 133, Perger 52 (1771)"
D,major,Michael Haydn,"Symphony No. 15, MH 150, Perger 41 (1771)"
D,major,Michael Haydn,"Symphony No. 19, MH 198, Perger 11 (1774)"
D,major,Michael Haydn,"Symphony No. 21, MH 272, Perger 42 (1778)"
D,major,Michael Haydn,"Symphony No. 23, MH 287, Perger 43, Sherman 22"
D,major,Michael Haydn,"Symphony No. 30, MH 399, Perger 21 (1785)"
D,major,Michael Haydn,"Symphony No. 32, MH 420, Perger 23 (1786)"
D,major,Michael Haydn,"Symphony No. 37, MH 476, Perger 29 (1788)"
D,major,Leopold Hofmann,"10 Symphonies, Kimball D1 through D10"
D,major,August Klughardt,"Symphony No. 3, Op. 37 (1879)"
D,major,Lev Knipper,"Symphony No. 4 """"Poem for the Komsomol Fighters"""" Op. 41 (1933-4)"
D,major,Lev Knipper,"Symphony No. 7 """"Military"""" (1938)"
D,major,Victor Kolar,Symphony No. 1
D,major,Leopold Kozeluch,Symphony #1 L'Arlechino
D,major,Leopold Kozeluch,Symphony #3 Op. 22 No. 1
D,major,Leopold Kozeluch,Symphony #13 (lost)
D,major,Leopold Kozeluch,Symphony #14
D,major,Leopold Kozeluch,Symphony #15
D,major,Joseph Martin Kraus,"Sinfonia Da Chiesa, VB 146"
D,major,Joseph Martin Kraus,"Symphony 'Sigmaringen' 5 (lost), VB Anhang 11"
D,major,Franz Krommer,"Symphony No. 2, Op. 40 (published 1803)"
D,major,Franz Krommer,"Symphony No. 3, Op. 62 (1807)"
D,major,Joseph Küffner,"Symphony No. 7, Op. 164 (pub. 1826)"
D,major,Franz Lachner,"Symphony No. 6, Op. 56 (1837)"
D,major,László Lajtha,"Symphony No. 4 """"Le Printemps"""", Op.52 (1950)"
D,major,Eduard Lassen,Symphony in D major (performed 1867)
D,major,Adolf Fredrik Lindblad,Symphony No. 2 (by 1855)
D,major,Gustav Mahler,Symphony No. 1 (1888)
D,major,Gustav Mahler,Symphony No. 9 (1910)
D,major,Étienne Méhul,Symphony No. 2 (1808-9)
D,major,Krzysztof Meyer,Symphony in D major in Mozartean Style (1976)
D,major,Mihály Mosonyi,Symphony No. 1 (1842-4)
D,major,Alexander Moyzes,"Symphony No. 1, Op. 31 (1928)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 7, K. 45"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 8, K. 48"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 11, K. 84"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 20, K. 133 (1772)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 23, K. 181 (1773)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 30, K. 202 (1774)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 31, K. 297 """"Paris"""" (1778)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 35, K. 385 """"Haffner"""" (1782)"
D,major,Wolfgang Amadeus Mozart,"Symphony No. 38, K. 504 """"Prague"""" (1786)"
D,major,Nikolai Myaskovsky,"Symphony No. 5, Op. 18 (1917-9)"
D,major,Otto Nicolai,Symphony No. 2 (1845)
D,major,Václav Pichl,"Symphony """"Diana"""" (Zakin 16)"
D,major,Václav Pichl,"Symphony """"Pastorale"""" (Zakin 17)"
D,major,Václav Pichl,Symphony Zakin 19 (Op. 1 No. 1)
D,major,Václav Pichl,Symphony Zakin 33 (Op. 17)
D,major,Willem Pijper,"Symphony No. 1  """"Pan"""", K. 37 (1917)"
D,major,Ignaz Pleyel,"Symphonie périodique No. 1 (B. 126, Op. 3 no. 1) (printed 1787)"
D,major,Sergei Prokofiev,"Symphony No. 1, Op. 25 """"Classical"""" (1917)"
D,major,Joachim Raff,"Symphony No. 1 """"To the Fatherland"""", Op. 96 (1859-61)"
D,major,Ferdinand Ries,"Symphony No. 1, Op. 23"
D,major,Ferdinand Ries,"Symphony No. 6, Op. 146 (1822)"
D,major,Jean Rivier,Symphony No. 1 (1931)
D,major,Gabriel Rodó ,Symphony No. 2 in D major (1957)
D,major,Julius Röntgen,Symphony No. 10 Walzer-Symphony
D,major,Joly Braga Santos,Symphony No. 1 (1947)
D,major,Franz Schubert,"Symphony No. 1, D 82"
D,major,Franz Schubert,"Symphony No. 3, D 200"
D,major,Franz Schubert,"Symphony, D 708A (incomplete)"
D,major,Franz Schubert,"Symphony No. 10, D 936A (incomplete)"
D,major,Giovanni Sgambati,"Symphony No. 1, Op.16 (1880-1)"
D,major,Jean Sibelius,"Symphony No. 2, Op. 43 (1901-2)"
D,major,Christian Sinding,"Symphony No. 2 , Op. 83 (1904)"
D,major,David Stanley Smith,Symphony (1918)
D,major,Charles Villiers Stanford,"Symphony No. 5, Op. 56 """"L'allegro ed il penseroso"""" (1894)"
D,major,Maximilian Steinberg,"Symphony No. 1, Op. 3 (1905-6)"
D,major,Johan Svendsen,"Symphony No. 1, Op. 4 (1865-7)"
D,major,Pyotr Ilyich Tchaikovsky,"Symphony No. 3, Op. 29 """"Polish"""" (1875)"
D,major,Charles Tournemire,"Symphony No. 3 """"Moscou (1913)"""" Op. 43 (1912-3)"
D,major,Donald Francis Tovey,"Symphony, Op. 32 (1913, rev. 1923)"
D,major,Ralph Vaughan Williams,Symphony No. 5 - nominally in the key
D,major,Jan Václav Voříšek,"Symphony, Op. 24 (1821)"
D,major,Pavel Vranický,"Symphony, Op. 16 No. 3"
D,major,Pavel Vranický,"Symphony, Op. 25 La Chasse"
D,major,Pavel Vranický,"Symphony, Op. 36"
D,major,Pavel Vranický,"Symphony, Op. 37"
D,major,Pavel Vranický,"Symphony, Op. 52"
D,major,Christopher Ernst Friedrich Weyse,"Symphony No. 3, DF 119 (1795, rev. 1800)"
D,minor,Kurt Atterberg,"Symphony No. 5 """"Funebre"""", Op. 20  (1917–22)"
D,minor,Ernst Bacon,Symphony (1932)
D,minor,Edgar Bainton,Symphony No. 2 (1939–40)
D,minor,Mily Balakirev,Symphony No. 2 (1900–8)
D,minor,Franz Ignaz Beck,"Symphony, Op. 3, No. 5"
D,minor,Ludwig van Beethoven,"Symphony No. 9, Op. 125 """"Choral"""" (1822-4)"
D,minor,Victor Bendix,"Symphony No. 4 , Op. 30 (1904-6?)"
D,minor,Adolphe Biarent,Symphony (1908)
D,minor,Vilém Blodek,Symphony (1858–59)
D,minor,Luigi Boccherini,"Symphony No. 4, Op. 12/4, G. 506 La casa del diavolo (1771)"
D,minor,Luigi Boccherini,"Symphony No. 15, Op. 37/3, G. 517 (1787)"
D,minor,Luigi Boccherini,"Symphony No. 20, Op. 45, G. 522 (1792)"
D,minor,Hjalmar Borgstrøm,"Symphony No. 2 , Op. 24 (1912)"
D,minor,Henry Brant,Symphony No. 2 (1942)
D,minor,Havergal Brian,"Symphony No. 1 """"Gothic"""" (1919-27)"
