HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References
00030	Animalia	Chordata	Actinopterygii	Tetraodontiformes	Monacanthidae	Meuschenia	scaber	Smooth leatherjacket	559	555										17.1	1422	wild	medium	acceptable						1422
00032	Animalia	Chordata	Amphibia	Anura	Ascaphidae	Ascaphus	truei	Coastal tailed frog			32		62							14	525	wild	medium	acceptable						525,749
00033	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	bombina	Firebelly toad	1095	1095			190							20	485	captivity	medium	acceptable						485,525,749
00034	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	orientalis	Oriental firebelly toad					148							15.8	451	captivity	large	acceptable						451,525,749
00035	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata	Yellow-bellied toad					73							29		captivity	medium	acceptable						24,525,749
00036	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	americanus	American toad	910	910	8		6000		365			21.7667		36	525	captivity	medium	acceptable			0.00829	21.6	288	37,268,426,525,749
00037	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	boreas	Western toad	1095	1095	6		5200							11.5	451	captivity	medium	acceptable						437,451,526,749
00038	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	californicus	Arroyo toad												8	1440	wild	medium	acceptable						1440
00039	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	canorus	Yosemite toad	1825	1460	11		1750							15	503	wild	medium	acceptable						503,526,749
00040	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	cognatus	Great plains toad	730	730	4		11074							10.7	485	captivity	small	questionable						485,526,749
00041	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	debilis	Green toad					1300							12.4	451	captivity	small	acceptable						451,749
00042	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	hemiophrys	Canadian toad	730	730										13.3	451	captivity	small	acceptable						451,528
00043	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	punctatus	Red-spotted toad	730	730			1500							11.3	485	captivity	medium	acceptable						485,749
00044	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	retiformis	Sonoran green toad			2									15.3	451	captivity	small	acceptable						451,749
00045	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	terrestris	Southern toad			3		3250					19.267		10	451	captivity	medium	acceptable			0.00698	19.2	288	37,451,749
00046	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	varius	Veragoa stubfoot toad												10	451	captivity	large	acceptable						451
00047	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	Common European toad	1460	1460										40	451	captivity	medium	acceptable						451,525,526,1134
00048	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	alvarius	Sonoran desert toad, or Colorado river toad		1095			7750							15.4	485	captivity	medium	acceptable						485,749
00049	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	asperginis	Kihansi spray toad												5	990	captivity	medium	questionable						990
00050	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	lemur	Ridge-headed toad												10.7	451	captivity	small	acceptable						451
00051	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	peltocephala	Cuban toad												20	485	captivity	small	acceptable						485
00052	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	viridis	European green toad												11.9	451	captivity	large	acceptable						451
00053	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	blombergi	Colombian giant toad												28.7	451	captivity	tiny	acceptable						451
00054	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	arenarum	Argentine toad														unknown	small	low						451,525
00055	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	marina	Cane toad	365	365	2		10000					106.25		24.8	485	captivity	large	acceptable			0.0303	105	293	37,296,485,749
00056	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	schneideri	Eurura toad												15.1	451	captivity	small	acceptable						451
00057	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	aurita	Common horned frog												12.8	451	captivity	small	acceptable						451
00058	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	calcarata	Colombian horned frog												15.9	451	captivity	tiny	acceptable						451
00059	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	cornuta	Amazonian horned frog												10.3	485	captivity	small	acceptable						485,749
00060	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	ornata	Ornate horned frog												14.7	451	captivity	medium	acceptable						451
00061	Animalia	Chordata	Amphibia	Anura	Conrauidae	Conraua	goliath	Goliath frog												5.9	451	captivity	small	acceptable						451,749
00062	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	auratus	Green and black dart-poison frog	365	365	12		6							20.5	448	captivity	large	acceptable						448,749
00063	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	leucomelas	Yellow-banded poison frog	75	75	12		7							11.5	451	captivity	large	acceptable						451,749
00064	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	tinctorius	Blue poison-dart frog														unknown	large	low						451
00065	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	histrionica	Kokoe-pa poison dart frog												9.1	451	captivity	medium	acceptable						451
00066	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	pumilio	Strawberry poison frog												7.5	451	captivity	medium	acceptable						451
00067	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	vittatus	Golfo dulce poison-dart frog	304	304	15		14									unknown	medium	low						749
00068	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	occipitalis	African tigrine frog										48.1		10.9	451	captivity	small	acceptable						451,749
00069	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	blanchardi	Blanchard's cricket frog										1				unknown	small	low						1096
00070	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	crepitans	Northern cricket frog												4.9	485	captivity	small	questionable						485,749,1096
00071	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	spatulata	Treefrog												12.8	451	captivity	tiny	acceptable						451
00072	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	European tree frog												22	451	captivity	small	acceptable						451
00073	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chrysoscelis	Cope's gray treefrog	730	547	21		35							7.8	485	captivity	medium	acceptable						485,528,749
00074	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	cinerea	Green treefrog	730	730			1222									unknown	medium	low						485,749
00075	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	gratiosa	Barking treefrog					2250							12.5	451	captivity	medium	acceptable						451,749
00076	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	japonica	Japanese treefrog	1278	1278			920							8.9	451	captivity	small	acceptable						451,749
00077	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	squirella	Squirrel treefrog			1		1000	1						8.5	485	captivity	medium	acceptable						485,749
00078	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	versicolor	Gray treefrog	730	730	4		1800					7.2		7.8	543	captivity	medium	acceptable			0.00433	6.97	290.5	37,528,543,749
00079	Animalia	Chordata	Amphibia	Anura	Hylidae	Hypsiboas	rosenbergi	Rosenberg's treefrog					775									unknown	small	low						485,749
00080	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	caerulea	Australian green treefrog					1100							20	451	captivity	large	acceptable						451,749
00081	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	septentrionalis	Cuban treefrog	255	120	1		1500							12.9	451	captivity	medium	acceptable						451,749
00082	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	vastus	Hispaniola giant treefrog												6.6	451	captivity	small	questionable						451
00083	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	dacnicolor	Mexican leaf frog												8.7	451	captivity	small	acceptable						451
00084	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	crucifer	Spring peeper	912	912	10		700					4				unknown	small	low			0.00105	0.9	292	37,451,525,528,749
00085	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	paradoxa	Paradox frog												11	451	captivity	small	acceptable						451
00086	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	baudinii	Mexican treefrog					2480							6.3	485	captivity	small	acceptable						485,749
00087	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	fodiens	Lowland burrowing treefrog												5.1	485	captivity	small	acceptable						485
00088	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	phaeota	Masked treefrog					2000							4.1	485	captivity	small	acceptable						485,749
00089	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	venulosus	Marbled treefrog												10.5	451	captivity	small	acceptable						451
00090	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	pentadactylus	Tungara frog												18.8	451	captivity	medium	acceptable						451
00091	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	aurantiaca	Golden mantella			14		40							10.9	451	captivity	large	acceptable						451,749
00092	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	expectata	Blue-legged mantella	365	365										3	1060	wild	small	questionable						1060
00093	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	carolinensis	Eastern narrow-mouthed toad	547	365	1		722							6.8	485	captivity	small	acceptable						485,528,749
00094	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	pulchra	Malaysian narrowmouth toad												11	485	captivity	medium	acceptable						485
00095	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	ornata	Ornate narrow-mouthed frog	547	182						1125				5	964	wild	small	acceptable						964
00096	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	bifasciatus	Red-banded frog												10.3	451	captivity	medium	acceptable						451
00097	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	gottlebei	Rainbow frog	365	365										2	1060	wild	small	questionable						1060
00098	Animalia	Chordata	Amphibia	Anura	Myobatrachidae	Mixophyes	fleayi	Fleay's barred frog												8	1433	wild	medium	acceptable						1433
00099	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus	Common Eurasian spadefoot toad			8		1740							11	485	captivity	medium	acceptable						485,749
00100	Animalia	Chordata	Amphibia	Anura	Pelodryadidae	Ranoidea	chloris	Orange-eyed tree frog	1096	1096										6	1433	wild	medium	acceptable						1433
00101	Animalia	Chordata	Amphibia	Anura	Pelodryadidae	Ranoidea	lesueurii	Lesueur's frog	1096	730										5	1433	wild	small	acceptable						1433
00102	Animalia	Chordata	Amphibia	Anura	Pelodryadidae	Ranoidea	pearsoniana	Pearson's green tree frog	730	730												unknown	medium	low						1433
00103	Animalia	Chordata	Amphibia	Anura	Phyllomedusidae	Agalychnis	callidryas	Red-eyed tree frog														unknown	large	low						485
00104	Animalia	Chordata	Amphibia	Anura	Phyllomedusidae	Agalychnis	spurrelli	Maroon-eyed tree frog												5.5	451	captivity	tiny	acceptable						451
00105	Animalia	Chordata	Amphibia	Anura	Phyllomedusidae	Phyllomedusa	bicolor	Waxy treefrog												10.3	451	captivity	medium	acceptable						451
00106	Animalia	Chordata	Amphibia	Anura	Pipidae	Pipa	pipa	Surinam toad												7.7	485	captivity	medium	acceptable						485,749
00107	Animalia	Chordata	Amphibia	Anura	Pipidae	Xenopus	laevis	African clawed frog	183		2							130		30.3	451	captivity	large	acceptable			0.012	63.6	288	10,37,196,451,526,607,749,1255
00108	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Pyxicephalus	adspersus	African bullfrog												45	451	captivity	medium	acceptable						451,749
00109	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna	delalandii	Cape sand frog												11.3	451	captivity	small	acceptable						451
00110	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	catesbeianus	American bullfrog	1277	730	4							54.4		16	485	captivity	medium	acceptable			0.0134	51.2	288	2,37,485,526,528,749
00111	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	clamitans	Green frog	730	730			4000							10	528	captivity	medium	acceptable						528,749
00112	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	pipiens	Northern leopard frog	730	365			4146					29.0222		9	525	wild	medium	acceptable			0.00576	21.6	289.78	37,42,268,525,528,749
00113	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	septentrionalis	Mink frog	730	547			2250							6	528	wild	medium	acceptable						528,749
00114	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	sylvaticus	Wood frog	912	547			900					7.88		5		unknown	medium	questionable			0.00416	7.8	289.8	37,43,289,340,528,749
00115	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	virgatipes	Carpenter frog		730										6.2	485	captivity	small	acceptable						485,749
00116	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	lessonae	Pool frog					2420							6	525	wild	medium	acceptable						525,749
00117	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	nigromaculatus	Black-spotted frog	730	730			2800							15	651	wild	medium	acceptable						651,749
00118	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	perezi	Italian green frog	912	912	6									6.8	650	captivity	small	acceptable						525,650,749
00119	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	ridibundus	Marsh frog	1460	1095			6835							11	525	wild	medium	acceptable						525,749,895
00120	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	amurensis	Siberian wood frog	1640	1640			2125							9	525	wild	medium	acceptable						525,749
00121	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	arvalis	Moor frog					1750							11	525	wild	medium	acceptable						525,749
00122	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	aurora	Red-legged frog, or California red-legged frog												15	503	wild	medium	acceptable						503,1150
00123	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	esculenta	Edible frog												12	525	wild	medium	acceptable						525
00124	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	iberica	Iberian frog					318							8	525	wild	medium	acceptable						525,749
00125	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	macrocnemis	Long-legged wood frog	912	912			2040							5	525	wild	medium	acceptable						525,749
00126	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	temporaria	European frog	1095	1095			2585							27		unknown	medium	acceptable						25,525,526,749,1118
00127	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	couchii	Couch's spadefoot					3000							6.7	485	captivity	small	questionable						458,485,749
00128	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	holbrookii	Eastern spadefoot	730	730	8		3872							12.3	485	captivity	small	acceptable						485,528,749
00129	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	intermontana	Great Basin spadefoot			3		676							20	437	wild	medium	acceptable						437,749
00130	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	gracile	Northwestern salamander	730	730			150							10.2	485	captivity	small	acceptable						485,749
00131	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mabeei	Mabee's salamander												8.8	485	captivity	small	acceptable						485
00132	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	macrodactylum	Long-toed salamander	730	730	40		250							10	437	wild	medium	acceptable						437,749
00133	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	maculatum	Spotted salamander	1095	730			125					12.84		32		unknown	medium	acceptable			0.005	12.8	290	37,528,749
00134	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mexicanum	Axolotl	548	548	18									17	451	captivity	large	acceptable						449,451,749,796,843
00135	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	opacum	Marbled salamander	1296	1113			100							11.3	485	captivity	small	acceptable						485,528,749
00136	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	rosaceum	Chihuahuan mole salamander												14.4	451	captivity	small	acceptable						451
00137	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	talpoideum	Mole salamander	730	730			350							9	749	unknown	medium	acceptable						528,749
00138	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	texanum	Small-mouthed salamander			35		625							13.8	485	captivity	tiny	acceptable						485,749
00139	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	tigrinum	Tiger salamander	1460	1460	28		37					9.402		25	485	captivity	medium	acceptable			0.00196	3.21	291	27,37,440,485,1143
00140	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Dicamptodon	ensatus	California giant salamander			150		85							16.9	451	captivity	tiny	acceptable						451,749
00141	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	means	Two-toed amphiuma	1460	1095	150		200					200.967		27	485	captivity	small	acceptable			0.00904	199	288	37,485,749
00142	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	tridactylum	Three-toed amphiuma			135		200							15.9	485	captivity	small	acceptable						485,749
00143	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus	Chinese giant salamander			55		500									unknown	small	low						485,749
00144	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	japonicus	Japanese giant salamander	1825	1825	60		500							55	485	captivity	small	acceptable						2,485,749
00145	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Cryptobranchus	alleganiensis	Hellbender	1825	1825	72		275					358.1		29	528	wild	medium	acceptable			0.0253	358	288	37,440,528
00146	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	boulengeri	Boulenger's oriental salamander					32							11.9	485	captivity	small	acceptable						230,231,485,749
00147	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	leechii	Chinese salamander												7.1	451	captivity	small	acceptable						451
00148	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	nebulosus	Clouded salamander												14.2	485	captivity	medium	acceptable						485
00149	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	retardatus	Japanese salamander												12.9	485	captivity	small	acceptable						485
00150	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	fischeri	Long-tailed clawed salamander												17	525	wild	medium	acceptable						525
00151	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	japonicus	Japanese clawed salamander					17							14.2	451	captivity	small	acceptable						451,749
00152	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Paradactylodon	mustersi	Afghanistan salamander												11	451	captivity	small	acceptable						451
00153	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Salamandrella	keyserlingii	Siberian salamander			23		70							8	525	wild	medium	acceptable						525,749
00154	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	aeneus	Green salamander	912	912	82		21	2								unknown	tiny	low						451,528,749
00155	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	lugubris	Arboreal salamander	1095	1095			14.5									unknown	small	low						485,749
00156	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	dofleini	Giant palm salamander												6.9	451	captivity	small	acceptable						451
00157	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	mexicana	Palm salamander												12.2	451	captivity	small	acceptable						451
00158	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	monticola	Seal salamander	1642	1277	45		25							17.7	485	captivity	tiny	acceptable						485,528,749
00159	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	ochrophaeus	Allegheny mountain dusky salamander	1280	1280			16					0.6		19.8	485	captivity	tiny	acceptable	0.3					468,485,526,529
00160	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	quadramaculatus	Black-bellied salamander	1280	1280			25					14.34		15	485	captivity	small	acceptable			0.00411	14.1	288	37,468,485,749
00161	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	welteri	Black mountain salamander	1642	1642			26							20	485	captivity	small	acceptable						485,528,749
00162	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Ensatina	eschscholtzii	Ensatina	1278	1278	138		14									unknown	tiny	low						451,749
00163	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	lucifuga	Cave salamander	1095	1095	13		73							9.1	451	captivity	small	acceptable						451,749
00164	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	rathbuni	Texas blind salamander												10.3	451	captivity	small	acceptable						451
00165	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	spelaea	Grotto salamander												9.9	485	captivity	small	acceptable						485
00166	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	wilderae	Blue ridge two-lined salamander	1278	1278			32							8	485	captivity	small	acceptable						485,749
00167	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	palleucus	Tennessee cave salamander												18.5	485	captivity	small	acceptable						485
00168	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	porphyriticus	Spring salamander	1460	1460			61							18.5	485	captivity	small	acceptable						485,528,749
00169	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Hemidactylium	scutatum	Four-toed salamander	912	912			30							8.9	485	captivity	small	acceptable						468,485
00170	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Phaeognathus	hubrichti	Red Hills salamander	2008				9							19.7	485	captivity	small	acceptable						485,749
00171	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus	Eastern red-backed salamander	730	730			8					0.5		25	528	wild	medium	acceptable			0.000099	0.76	278.5	37,468,526,528,529
00172	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	dunni	Dunn's salamander	1095	1095	70		9.4							11	485	captivity	small	acceptable						485,749
00173	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	elongatus	Del Norte salamander					7							13.3	485	captivity	small	acceptable						485,749
00174	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	glutinosus	Northern slimy salamander	910	910			21					4.2		20.1	485	captivity	small	acceptable			0.00191	4.2	288	37,468,485
00175	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	jordani	Red-cheeked salamander	1825	1095										19.8	485	captivity	tiny	acceptable						485,512,528
00176	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	vehiculum	Western red-backed salamander												11.1	485	captivity	small	acceptable						485
00177	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	yonahlossee	Yonahlossee salamander	1095	1095												unknown	tiny	low						451,528
00178	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	montanus	Mud salamander	1643	1095										15.1	485	captivity	small	acceptable						485,749
00179	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	ruber	Red salamander	1825	1460	75		80							20.1	485	captivity	small	acceptable						485,749
00180	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Speleomantes	italicus	Italian cave salamander	1278	1278	304		10							10.6	485	captivity	small	acceptable						485,749
00181	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	maculosus	Mudpuppy	2190	1825	50		68							34		unknown	medium	acceptable						528,539,749
00182	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	punctatus	Dwarf waterdog	1825	1825			30									unknown	tiny	low						451,528,749
