fecha;medio;candidato;partido;orientación;ideología;apoyo
2025-02-17;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,042
2025-02-17;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,027
2025-02-17;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,021
2025-02-17;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-02-17;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,013
2025-02-10;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,0309
2025-02-10;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,217
2025-02-10;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,168
2025-02-10;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,047
2025-02-10;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,02
2025-02-10;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-02-10;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,021
2025-02-10;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,016
2025-02-07;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,367
2025-02-07;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,253
2025-02-07;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,098
2025-02-07;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,066
2025-02-07;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,017
2025-02-07;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,015
2025-02-07;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,05
2025-02-07;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0
